Dataset,Batch Size,Train Accuracy,Test Accuracy,Generalization Gap,Avg Epoch Time,Convergence Epoch
Small (1K),1,75.20833333333333,73.33333333333333,1.875,0.4598419427871704,10
Small (1K),8,83.95833333333333,82.5,1.4583333333333286,0.07031881809234619,5
Small (1K),32,89.375,85.83333333333333,3.5416666666666714,0.020676350593566893,6
Small (1K),64,90.625,86.66666666666667,3.9583333333333286,0.012432622909545898,5
Small (1K),128,90.625,85.0,5.625,0.008037734031677245,5
Small (1K),256,89.375,85.83333333333333,3.5416666666666714,0.005502462387084961,5
Small (1K),512,89.375,86.66666666666667,2.7083333333333286,0.004698371887207032,5
Medium (10K),1,87.29166666666667,88.16666666666667,-0.875,2.2076972246170046,3
Medium (10K),8,94.29166666666667,94.33333333333333,-0.04166666666665719,0.32994487285614016,1
Medium (10K),32,95.79166666666667,95.5,0.2916666666666714,0.10103840827941894,0
Medium (10K),64,96.70833333333333,95.66666666666667,1.0416666666666572,0.0576693058013916,0
Medium (10K),128,96.83333333333333,95.33333333333333,1.5,0.038016319274902344,1
Medium (10K),256,97.45833333333333,95.16666666666667,2.291666666666657,0.02710988521575928,0
Medium (10K),512,97.08333333333333,95.16666666666667,1.9166666666666572,0.020637106895446778,0
Large (50K),1,90.125,92.8125,-2.6875,5.841232538223267,0
Large (50K),8,94.453125,96.25,-1.796875,0.8703865051269531,0
Large (50K),32,95.875,97.0625,-1.1875,0.2549668073654175,0
Large (50K),64,96.65625,97.625,-0.96875,0.15063729286193847,0
Large (50K),128,96.546875,97.1875,-0.640625,0.09718358516693115,0
Large (50K),256,96.609375,97.75,-1.140625,0.07193224430084229,0
Large (50K),512,97.21875,98.125,-0.90625,0.07646658420562744,0
